date,open,high,low,close,volume,change_percent,avg_vol_20d
2009/06/29,83.39,84.07,83.39,84.07,0,,
2009/06/30,84.13,84.13,83.19,83.19,0,,
2009/07/01,83.56,83.92,83.56,83.92,0,,
2009/07/02,83.61,83.61,82.42,82.42,0,,
2009/07/03,82.5,82.5,82.27,82.27,0,,
2009/07/06,81.86,81.86,81.79,81.79,0,,
2009/07/07,82.04,82.04,81.24,81.24,0,,
2009/07/08,81.24,81.24,80.53,80.53,5000,,
2009/07/09,80.81,80.81,80.63,80.63,0,,
2009/07/10,80.62,80.62,80.05,80.05,0,,
2009/07/13,79.73,81.33,79.73,81.33,0,,
2009/07/14,81.76,82.44,81.76,82.44,0,,
2009/07/15,82.66,83.8,82.66,83.8,0,,
2009/07/16,83.82,84.15,83.82,84.15,0,,
2009/07/17,84.62,84.62,84.57,84.57,0,,
2009/07/20,84.94,85.15,84.94,85.15,58,,
2009/07/21,85.52,85.81,85.52,85.81,0,,
2009/07/22,86.03,86.11,86.03,86.11,0,,
2009/07/23,86.2,87.7,86.2,87.6,5000,,
2009/07/24,87.49,88.23,87.49,87.71,5000,,
2009/07/27,88.3,88.39,88.19,88.19,5000,,
2009/07/28,88.27,88.27,87.79,87.79,0,,
2009/07/29,87.73,88.55,87.73,88.55,10000,,
2009/07/30,89.23,90.35,89.23,90.35,0,,
2009/07/31,89.92,89.92,89.42,89.42,0,,
2009/08/03,89.88,89.88,89.71,89.71,5000,,
2009/08/04,89.89,90.16,89.89,90.16,0,,
2009/08/05,89.94,89.94,89.45,89.45,0,,
2009/08/06,90.15,90.16,90.01,90.01,7784,,
2009/08/07,91.7,91.7,91.7,91.7,0,,
2009/08/10,91.56,91.56,91.56,91.56,0,,
2009/08/11,91.45,91.59,90.18,90.18,5000,,
2009/08/12,90.14,90.93,90.14,90.93,0,,
2009/08/13,91.01,91.18,91.01,91.18,0,,
2009/08/14,91.57,91.57,90.42,90.54,5000,,
2009/08/17,90.19,90.19,89.47,89.47,7158,,
2009/08/18,89.79,90.07,89.74,90.07,5000,,
2009/08/19,89.58,89.59,89.58,89.59,0,,
2009/08/20,90.82,90.84,90.82,90.84,0,,
2009/08/21,90.51,92.35,90.51,92.35,10000,,
2009/08/24,92.81,93.06,92.81,93.06,0,,
2009/08/25,92.66,93.16,92.66,93.16,13,,
2009/08/26,92.89,92.91,92.89,92.91,0,,
2009/08/27,92.74,92.74,92.31,92.31,0,,
2009/08/28,92.9,92.91,92.9,92.91,0,,
2009/08/31,92.56,92.56,91.98,91.98,0,,
2009/09/01,92.55,92.55,91.2,91.2,0,,
2009/09/02,91.02,91.02,90.8,90.8,0,,
2009/09/03,90.8,90.8,90.63,90.63,0,,
2009/09/04,90.99,91.72,90.99,91.72,0,,
2009/09/07,91.99,92.68,91.99,92.68,0,,
2009/09/08,92.67,92.67,92.14,92.14,5000,,
2009/09/09,91.8,92.65,91.8,92.65,0,,
2009/09/10,93.04,93.04,92.38,92.88,5000,,
2009/09/11,93.18,93.67,93.18,93.58,5000,,
2009/09/14,92.62,92.93,92.62,92.93,0,,
2009/09/15,93.1,93.27,93.1,93.27,0,,
2009/09/16,93.52,94.16,93.52,94.16,5000,,
2009/09/17,94.7,94.97,94.7,94.97,0,,
2009/09/18,94.3,94.3,94.3,94.3,0,,
2009/09/21,94.03,94.03,93.97,93.97,0,,
2009/09/22,94.31,94.31,94.13,94.13,10,,
2009/09/23,94.3,94.33,94.3,94.33,0,,
2009/09/24,93.86,93.86,92.95,92.95,0,,
2009/09/25,93.21,93.21,92.8,92.8,2,,
2009/09/28,92.87,94.21,92.87,94.21,2,,
2009/09/29,94.18,94.27,94.18,94.27,2,,
2009/09/30,94.35,94.35,93.59,93.59,2,,
2009/10/01,85.56,94.19,92.54,92.54,6001,,
2009/10/02,91.71,91.71,90.83,90.83,2,,
2009/10/05,90.84,91.35,90.84,91.35,2,,
2009/10/06,91.71,93.06,91.71,93.06,2,,
2009/10/07,93.08,93.08,93.05,93.05,2,,
2009/10/08,94.19,94.19,94.19,94.19,1,,
2009/10/09,94.11,94.11,94.07,94.07,2,,
2009/10/12,94.51,94.7,94.51,94.7,2,,
2009/10/13,94.44,94.44,93.93,93.93,2,,
2009/10/14,94.68,95.14,94.68,95.1,202,,
2009/10/15,95.35,95.35,94.96,94.96,2,,
2009/10/16,94.5,94.5,94.5,94.5,1,,
2009/10/19,94.97,95.63,94.97,95.63,0,,
2009/10/20,95.79,95.79,95.09,95.09,0,,
2009/10/21,95.48,95.48,94.92,95.45,10,,
2009/10/22,93.99,94.14,93.99,94.14,0,,
2009/10/23,94.87,94.87,93.78,93.78,0,,
2009/10/26,94.08,94.08,93.33,93.33,10047,,
2009/10/27,93.16,93.48,93.16,93.48,0,,
2009/10/28,92.91,92.91,91.91,91.91,10,,
2009/10/29,91.6,92.79,91.6,92.79,0,,
2009/10/30,92.83,92.83,91.42,91.42,0,,
2009/11/02,91.28,91.5,91.28,91.5,12,,
2009/11/03,91.24,91.31,91.24,91.31,35,,
2009/11/04,91.93,92.27,91.93,92.27,0,,
2009/11/05,91.32,92.57,91.32,92.57,0,,
2009/11/06,92.62,92.83,92.62,92.83,0,,
2009/11/09,93.27,94.04,93.27,94.04,66,,
